City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,guanica,17.9716,-66.908,25.58,53,99,3.86,PR,1732592109
245,bequimao,-2.4489,-44.7825,24.92,80,23,1.73,BR,1732592110
246,grande prairie,55.1667,-118.8027,-25.9,76,0,2.57,CA,1732592110
247,amursk,50.2261,136.8994,-3.95,69,100,4.63,RU,1732592110
248,pisco,-13.7,-76.2167,19.45,88,100,7.2,PE,1732592110
249,haci zeynalabdin,40.6233,49.5586,9.55,82,100,7.61,AZ,1732592110
250,khon buri,14.5254,102.2459,26.45,75,59,3.35,TH,1732592110
251,severnoye,56.3491,78.3619,-9.98,91,81,1.6,RU,1732592110
252,nagqu,31.5,92.0,-4.03,17,99,0.76,CN,1732592111
253,harrismith,-28.2728,29.1295,16.02,71,23,2.58,ZA,1732592111
254,saint-francois,46.4154,3.9054,7.69,94,0,2.06,FR,1732592111
255,kruisfontein,-34.0033,24.7314,15.84,85,100,5.62,ZA,1732592111
256,kirakira,-10.4544,161.9205,30.15,67,73,3.44,SB,1732592111
257,nova vicosa,-17.8919,-39.3719,22.39,68,34,3.19,BR,1732591911
258,chernyshevsk,52.5243,117.0174,-13.32,78,100,3.84,RU,1732592111
259,nishinoomote,30.7333,131.0,18.31,94,75,6.17,JP,1732592111
260,preobrazheniye,42.9019,133.9064,7.47,90,100,9.26,RU,1732592111
261,minas de marcona,-15.2119,-75.1103,13.82,85,98,4.98,PE,1732592112
262,gadzhiyevo,69.2551,33.3362,-5.01,88,99,2.6,RU,1732592112
263,whitehorse,60.7161,-135.0538,-12.57,85,100,0.0,CA,1732592112
264,n'zeto,-7.2312,12.8666,25.37,86,100,2.76,AO,1732592112
265,maragogi,-9.0122,-35.2225,24.49,80,71,1.86,BR,1732592112
266,ciudad bolivar,8.1222,-63.5497,27.05,73,12,4.73,VE,1732592112
267,crane,31.3974,-102.3501,9.19,49,96,5.19,US,1732592112
268,remire-montjoly,4.9167,-52.2667,28.02,83,100,2.57,GF,1732592113
269,yoichi,43.2039,140.7703,8.25,46,43,1.56,JP,1732592113
270,san juan de miraflores,-12.1629,-76.9635,18.98,84,100,3.7,PE,1732592113
271,kulhudhuffushi,6.6221,73.07,28.12,70,100,4.19,MV,1732592113
272,vernon,50.2581,-119.2691,0.42,81,94,1.03,CA,1732592061
273,wajir,1.7471,40.0573,23.98,83,75,0.0,KE,1732592113
274,turpan,42.9333,89.1667,3.02,31,0,0.3,CN,1732592113
275,sorong,-0.8833,131.25,29.2,71,57,1.76,ID,1732592114
276,kogalym,62.2654,74.4791,-7.27,93,79,7.19,RU,1732592114
277,sotkamo,64.1333,28.4167,4.7,98,100,4.9,FI,1732591933
278,jiujiang,29.7333,115.9833,13.3,17,1,2.66,CN,1732592114
279,praia da vitoria,38.7333,-27.0667,16.14,88,20,2.56,PT,1732592114
280,kavaratti,10.5669,72.642,27.82,69,84,4.45,IN,1732592114
281,olyokminsk,60.3736,120.4264,-23.01,96,81,0.95,RU,1732592114
282,xilin hot,43.9667,116.0333,-11.76,46,95,7.42,CN,1732592115
